?item	?enLabel	?faLabel	?enDescription	?faDescription	?enWikipediaUrl	?faWikipediaUrl
<http://www.wikidata.org/entity/Q17134695>	"Module:Infobox road/browse"@en	"پودمان:Infobox road/browse"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Fbrowse>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Fbrowse>
<http://www.wikidata.org/entity/Q17134705>	"Module:Infobox road/color"@en	"پودمان:Infobox road/color"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Fcolor>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Fcolor>
<http://www.wikidata.org/entity/Q17134705>	"Module:Infobox road/color"@en	"پودمان:Infobox road/color"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Fcolor>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Fcolor>
<http://www.wikidata.org/entity/Q17134713>	"Module:Infobox road/color/CAN"@en	"پودمان:Infobox road/color/CAN"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Fcolor%2FCAN>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Fcolor%2FCAN>
<http://www.wikidata.org/entity/Q17134713>	"Module:Infobox road/color/CAN"@en	"پودمان:Infobox road/color/CAN"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Fcolor%2FCAN>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Fcolor%2FCAN>
<http://www.wikidata.org/entity/Q17134735>	"Module:Infobox road/link"@en	"پودمان:Infobox road/link"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Flink>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Flink>
<http://www.wikidata.org/entity/Q17134735>	"Module:Infobox road/link"@en	"پودمان:Infobox road/link"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Flink>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Flink>
<http://www.wikidata.org/entity/Q17134741>	"Module:Infobox road/link/AUT"@en	"پودمان:Infobox road/link/AUT"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3AInfobox%20road%2Flink%2FAUT>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3AInfobox%20road%2Flink%2FAUT>
<http://www.wikidata.org/entity/Q18743253>	"Module:Location map/data/USA New Jersey Mercer County"@en	"پودمان:Location map/data/USA New Jersey Mercer County"@fa	"Wikimedia template"@en	"الگوی ویکیمدیا"@fa	<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20New%20Jersey%20Mercer%20County>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FUSA%20New%20Jersey%20Mercer%20County>
<http://www.wikidata.org/entity/Q18743253>	"Module:Location map/data/USA New Jersey Mercer County"@en	"پودمان:Location map/data/USA New Jersey Mercer County"@fa	"Wikimedia template"@en	"الگوی ویکیمدیا"@fa	<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20New%20Jersey%20Mercer%20County>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FUSA%20New%20Jersey%20Mercer%20County>
<http://www.wikidata.org/entity/Q18756014>	"Module:Team roster navbox"@en	"پودمان:Team roster navbox"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ATeam%20roster%20navbox>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ATeam%20roster%20navbox>
<http://www.wikidata.org/entity/Q18756014>	"Module:Team roster navbox"@en	"پودمان:Team roster navbox"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ATeam%20roster%20navbox>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ATeam%20roster%20navbox>
<http://www.wikidata.org/entity/Q18758377>	"Module:Photo montage"@en	"پودمان:Photo montage"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3APhoto%20montage>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3APhoto%20montage>
<http://www.wikidata.org/entity/Q18758377>	"Module:Photo montage"@en	"پودمان:Photo montage"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3APhoto%20montage>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3APhoto%20montage>
<http://www.wikidata.org/entity/Q18786237>	"Module:Location map/data/Grand Lyon"@en	"Module:Location map/data/Grand Lyon"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGrand%20Lyon>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGrand%20Lyon>
<http://www.wikidata.org/entity/Q18786237>	"Module:Location map/data/Grand Lyon"@en	"Module:Location map/data/Grand Lyon"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGrand%20Lyon>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGrand%20Lyon>
<http://www.wikidata.org/entity/Q18786277>	"Module:Location map/data/Sweden"@en	"Module:Location map/data/Sweden"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSweden>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSweden>
<http://www.wikidata.org/entity/Q18786277>	"Module:Location map/data/Sweden"@en	"Module:Location map/data/Sweden"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSweden>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSweden>
<http://www.wikidata.org/entity/Q18808179>	"Module:Location map/data/India"@en	"Module:Location map/data/India"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FIndia>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FIndia>
<http://www.wikidata.org/entity/Q18808179>	"Module:Location map/data/India"@en	"Module:Location map/data/India"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FIndia>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FIndia>
<http://www.wikidata.org/entity/Q18808182>	"Module:Location map/data/Russia"@en	"Module:Location map/data/Russia1"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia1>
<http://www.wikidata.org/entity/Q18808182>	"Module:Location map/data/Russia"@en	"Module:Location map/data/Russia1"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia1>
<http://www.wikidata.org/entity/Q18808183>	"Module:Location map/data/Brazil"@en	"Module:Location map/data/Brazil"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FBrazil>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FBrazil>
<http://www.wikidata.org/entity/Q18808183>	"Module:Location map/data/Brazil"@en	"Module:Location map/data/Brazil"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FBrazil>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FBrazil>
<http://www.wikidata.org/entity/Q18808185>	"Module:Location map/data/China"@en	"Module:Location map/data/China"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FChina>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FChina>
<http://www.wikidata.org/entity/Q18808185>	"Module:Location map/data/China"@en	"Module:Location map/data/China"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FChina>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FChina>
<http://www.wikidata.org/entity/Q18808192>	"Module:Location map/data/Slovenia"@en	"پودمان:Location map/data/Slovenia"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSlovenia>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FSlovenia>
<http://www.wikidata.org/entity/Q18808192>	"Module:Location map/data/Slovenia"@en	"پودمان:Location map/data/Slovenia"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSlovenia>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FSlovenia>
<http://www.wikidata.org/entity/Q18808203>	"Module:Location map/data/UK England"@en	"Module:Location map/data/UK England"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUK%20England>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUK%20England>
<http://www.wikidata.org/entity/Q18808203>	"Module:Location map/data/UK England"@en	"Module:Location map/data/UK England"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUK%20England>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUK%20England>
<http://www.wikidata.org/entity/Q18808205>	"Module:Location map/data/United Kingdom"@en	"Module:Location map/data/United Kingdom"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom>
<http://www.wikidata.org/entity/Q18808205>	"Module:Location map/data/United Kingdom"@en	"Module:Location map/data/United Kingdom"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom>
<http://www.wikidata.org/entity/Q18808220>	"Module:Location map/data/Hong Kong urban core"@en	"Module:Location map/data/Hong Kong urban core"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FHong%20Kong%20urban%20core>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FHong%20Kong%20urban%20core>
<http://www.wikidata.org/entity/Q18808220>	"Module:Location map/data/Hong Kong urban core"@en	"Module:Location map/data/Hong Kong urban core"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FHong%20Kong%20urban%20core>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FHong%20Kong%20urban%20core>
<http://www.wikidata.org/entity/Q18808239>	"Module:Location map/data/USA Massachusetts"@en	"Module:Location map/data/USA Massachusetts"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Massachusetts>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Massachusetts>
<http://www.wikidata.org/entity/Q18808239>	"Module:Location map/data/USA Massachusetts"@en	"Module:Location map/data/USA Massachusetts"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Massachusetts>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Massachusetts>
<http://www.wikidata.org/entity/Q18808242>	"Module:Location map/data/Austria Tyrol"@en	"پودمان:Location map/data/Austria Tyrol"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FAustria%20Tyrol>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FAustria%20Tyrol>
<http://www.wikidata.org/entity/Q18808242>	"Module:Location map/data/Austria Tyrol"@en	"پودمان:Location map/data/Austria Tyrol"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FAustria%20Tyrol>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FAustria%20Tyrol>
<http://www.wikidata.org/entity/Q18808243>	"Module:Location map/data/United Kingdom Skelmersdale"@en	"Module:Location map/data/United Kingdom Skelmersdale"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Skelmersdale>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Skelmersdale>
<http://www.wikidata.org/entity/Q18808243>	"Module:Location map/data/United Kingdom Skelmersdale"@en	"Module:Location map/data/United Kingdom Skelmersdale"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Skelmersdale>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Skelmersdale>
<http://www.wikidata.org/entity/Q18808246>	"Module:Location map/data/Syria-Iraq"@en	"پودمان:Location map/data/Syria-Iraq"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSyria-Iraq>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FSyria-Iraq>
<http://www.wikidata.org/entity/Q18808246>	"Module:Location map/data/Syria-Iraq"@en	"پودمان:Location map/data/Syria-Iraq"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FSyria-Iraq>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FSyria-Iraq>
<http://www.wikidata.org/entity/Q18808245>	"Module:Location map/data/United Kingdom Morecambe"@en	"Module:Location map/data/United Kingdom Morecambe"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Morecambe>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Morecambe>
<http://www.wikidata.org/entity/Q18808245>	"Module:Location map/data/United Kingdom Morecambe"@en	"Module:Location map/data/United Kingdom Morecambe"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Morecambe>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Morecambe>
<http://www.wikidata.org/entity/Q18808250>	"Module:Location map/data/United Kingdom Blackpool"@en	"Module:Location map/data/United Kingdom Blackpool"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackpool>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackpool>
<http://www.wikidata.org/entity/Q18808250>	"Module:Location map/data/United Kingdom Blackpool"@en	"Module:Location map/data/United Kingdom Blackpool"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackpool>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackpool>
<http://www.wikidata.org/entity/Q18808251>	"Module:Location map/data/United Kingdom Burnley"@en	"Module:Location map/data/United Kingdom Burnley"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Burnley>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Burnley>
<http://www.wikidata.org/entity/Q18808251>	"Module:Location map/data/United Kingdom Burnley"@en	"Module:Location map/data/United Kingdom Burnley"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Burnley>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Burnley>
<http://www.wikidata.org/entity/Q18808248>	"Module:Location map/data/United Kingdom Blackburn"@en	"Module:Location map/data/United Kingdom Blackburn"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn>
<http://www.wikidata.org/entity/Q18808248>	"Module:Location map/data/United Kingdom Blackburn"@en	"Module:Location map/data/United Kingdom Blackburn"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn>
<http://www.wikidata.org/entity/Q18808249>	"Module:Location map/data/United Kingdom Lancaster"@en	"Module:Location map/data/United Kingdom Lancaster"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Lancaster>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Lancaster>
<http://www.wikidata.org/entity/Q18808249>	"Module:Location map/data/United Kingdom Lancaster"@en	"Module:Location map/data/United Kingdom Lancaster"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Lancaster>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Lancaster>
<http://www.wikidata.org/entity/Q18808254>	"Module:Location map/data/Russia Moscow Ring Road"@en	"پودمان:Location map/data/Moscow Ring Road"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia%20Moscow%20Ring%20Road>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FMoscow%20Ring%20Road>
<http://www.wikidata.org/entity/Q18808254>	"Module:Location map/data/Russia Moscow Ring Road"@en	"پودمان:Location map/data/Moscow Ring Road"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FRussia%20Moscow%20Ring%20Road>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FMoscow%20Ring%20Road>
<http://www.wikidata.org/entity/Q18808255>	"Module:Location map/data/Greater Mexico City"@en	"پودمان:Location map/data/Greater Mexico City"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGreater%20Mexico%20City>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FGreater%20Mexico%20City>
<http://www.wikidata.org/entity/Q18808255>	"Module:Location map/data/Greater Mexico City"@en	"پودمان:Location map/data/Greater Mexico City"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FGreater%20Mexico%20City>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FGreater%20Mexico%20City>
<http://www.wikidata.org/entity/Q18808252>	"Module:Location map/data/United Kingdom Fleetwood"@en	"Module:Location map/data/United Kingdom Fleetwood"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Fleetwood>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Fleetwood>
<http://www.wikidata.org/entity/Q18808252>	"Module:Location map/data/United Kingdom Fleetwood"@en	"Module:Location map/data/United Kingdom Fleetwood"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Fleetwood>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Fleetwood>
<http://www.wikidata.org/entity/Q18808253>	"Module:Location map/data/Mount Athos"@en	"پودمان:Location map/data/Mount Athos"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FMount%20Athos>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FMount%20Athos>
<http://www.wikidata.org/entity/Q18808253>	"Module:Location map/data/Mount Athos"@en	"پودمان:Location map/data/Mount Athos"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FMount%20Athos>	<https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%AF%D9%85%D8%A7%D9%86%3ALocation%20map%2Fdata%2FMount%20Athos>
<http://www.wikidata.org/entity/Q18808258>	"Module:Location map/data/USA Indiana Clinton County"@en	"Module:Location map/data/USA Indiana Clinton County"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Indiana%20Clinton%20County>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Indiana%20Clinton%20County>
<http://www.wikidata.org/entity/Q18808258>	"Module:Location map/data/USA Indiana Clinton County"@en	"Module:Location map/data/USA Indiana Clinton County"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Indiana%20Clinton%20County>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUSA%20Indiana%20Clinton%20County>
<http://www.wikidata.org/entity/Q18808259>	"Module:Location map/data/United Kingdom Borough of Rossendale"@en	"Module:Location map/data/United Kingdom Borough of Rossendale"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Rossendale>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Rossendale>
<http://www.wikidata.org/entity/Q18808259>	"Module:Location map/data/United Kingdom Borough of Rossendale"@en	"Module:Location map/data/United Kingdom Borough of Rossendale"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Rossendale>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Rossendale>
<http://www.wikidata.org/entity/Q18808256>	"Module:Location map/data/United Kingdom Borough of Hyndburn"@en	"Module:Location map/data/United Kingdom Borough of Hyndburn"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Hyndburn>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Hyndburn>
<http://www.wikidata.org/entity/Q18808256>	"Module:Location map/data/United Kingdom Borough of Hyndburn"@en	"Module:Location map/data/United Kingdom Borough of Hyndburn"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Hyndburn>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20Hyndburn>
<http://www.wikidata.org/entity/Q18808257>	"Module:Location map/data/United Kingdom Borough of West Lancashire"@en	"Module:Location map/data/United Kingdom Borough of West Lancashire"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20West%20Lancashire>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20West%20Lancashire>
<http://www.wikidata.org/entity/Q18808257>	"Module:Location map/data/United Kingdom Borough of West Lancashire"@en	"Module:Location map/data/United Kingdom Borough of West Lancashire"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20West%20Lancashire>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Borough%20of%20West%20Lancashire>
<http://www.wikidata.org/entity/Q18808262>	"Module:Location map/data/United Kingdom Blackburn with Darwen"@en	"Module:Location map/data/United Kingdom Blackburn with Darwen"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20with%20Darwen>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20with%20Darwen>
<http://www.wikidata.org/entity/Q18808262>	"Module:Location map/data/United Kingdom Blackburn with Darwen"@en	"Module:Location map/data/United Kingdom Blackburn with Darwen"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20with%20Darwen>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20with%20Darwen>
<http://www.wikidata.org/entity/Q18808263>	"Module:Location map/data/United Kingdom Blackburn central"@en	"Module:Location map/data/United Kingdom Blackburn central"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20central>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20central>
<http://www.wikidata.org/entity/Q18808263>	"Module:Location map/data/United Kingdom Blackburn central"@en	"Module:Location map/data/United Kingdom Blackburn central"@fa	"Wikimedia module"@en		<https://en.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20central>	<https://fa.wikipedia.org/wiki/Module%3ALocation%20map%2Fdata%2FUnited%20Kingdom%20Blackburn%20central>
